_id,email,password,role,firstName,lastName,organizationName,city,phone
4d20f496c767bf3946b93c8c,donor1@foodbridge.com,password123,donor,Donor,1,Donor Org 1,TestCity,555-0101
a516fbb54ae9923f6c485e76,volunteer1@foodbridge.com,password123,volunteer,Volunteer,1,,TestCity,555-0201
cc3efec48c6e8683f9ce59ca,ngo1@foodbridge.com,password123,ngo,NGO,1,Food Help 1 Org,TestCity,555-0301
3592ccde8ff36f0977ad349c,donor2@foodbridge.com,password123,donor,Donor,2,Donor Org 2,TestCity,555-0102
3656b5ef55845c4e33277918,volunteer2@foodbridge.com,password123,volunteer,Volunteer,2,,TestCity,555-0202
c6f6f29250110acb018d0592,ngo2@foodbridge.com,password123,ngo,NGO,2,Food Help 2 Org,TestCity,555-0302
d35705cf982a9a38d5b91087,donor3@foodbridge.com,password123,donor,Donor,3,Donor Org 3,TestCity,555-0103
7d2af117f11af17081a9a0d8,volunteer3@foodbridge.com,password123,volunteer,Volunteer,3,,TestCity,555-0203
4d14ff3e0d7b7c295bfc6b1f,ngo3@foodbridge.com,password123,ngo,NGO,3,Food Help 3 Org,TestCity,555-0303
18466661956ccd6b4e3e31b3,donor4@foodbridge.com,password123,donor,Donor,4,Donor Org 4,TestCity,555-0104
8b797ea0e26b3e2b25e9c61e,volunteer4@foodbridge.com,password123,volunteer,Volunteer,4,,TestCity,555-0204
3a3b6a7555e4629b931dc347,ngo4@foodbridge.com,password123,ngo,NGO,4,Food Help 4 Org,TestCity,555-0304
a0d4748af7d97975eb3461e6,donor5@foodbridge.com,password123,donor,Donor,5,Donor Org 5,TestCity,555-0105
a7bc1f78ca772e3e8c6f28c1,volunteer5@foodbridge.com,password123,volunteer,Volunteer,5,,TestCity,555-0205
22c1869844684ace475f7080,ngo5@foodbridge.com,password123,ngo,NGO,5,Food Help 5 Org,TestCity,555-0305
757fe399bd9f1fd386abba28,donor6@foodbridge.com,password123,donor,Donor,6,Donor Org 6,TestCity,555-0106
1a73e58f5b90549349ec34ac,volunteer6@foodbridge.com,password123,volunteer,Volunteer,6,,TestCity,555-0206
0981ba32df4c5b0197ec32f4,ngo6@foodbridge.com,password123,ngo,NGO,6,Food Help 6 Org,TestCity,555-0306
e3294d61cccb34ce254f9d57,donor7@foodbridge.com,password123,donor,Donor,7,Donor Org 7,TestCity,555-0107
8df93225d3a8687c3f3af5df,volunteer7@foodbridge.com,password123,volunteer,Volunteer,7,,TestCity,555-0207
9fc3daf033775d601693fd94,ngo7@foodbridge.com,password123,ngo,NGO,7,Food Help 7 Org,TestCity,555-0307
57e3ad594e95b1a5180e4fc0,donor8@foodbridge.com,password123,donor,Donor,8,Donor Org 8,TestCity,555-0108
210015d8416635932f94943f,volunteer8@foodbridge.com,password123,volunteer,Volunteer,8,,TestCity,555-0208
cbdbf2674489db4801c0a2bd,ngo8@foodbridge.com,password123,ngo,NGO,8,Food Help 8 Org,TestCity,555-0308
19d9b062c78baf4a4295a2ba,donor9@foodbridge.com,password123,donor,Donor,9,Donor Org 9,TestCity,555-0109
47619dd64dcf61bcf443aa0e,volunteer9@foodbridge.com,password123,volunteer,Volunteer,9,,TestCity,555-0209
65055fedd7cf5170949795ad,ngo9@foodbridge.com,password123,ngo,NGO,9,Food Help 9 Org,TestCity,555-0309
ed5e758fafa82c9599429828,donor10@foodbridge.com,password123,donor,Donor,10,Donor Org 10,TestCity,555-01010
280575d4c4ee3b150e595610,volunteer10@foodbridge.com,password123,volunteer,Volunteer,10,,TestCity,555-02010
647d81da18713dd3d4ddd797,ngo10@foodbridge.com,password123,ngo,NGO,10,Food Help 10 Org,TestCity,555-03010
af97cb677c66260cb5651401,donor11@foodbridge.com,password123,donor,Donor,11,Donor Org 11,TestCity,555-01011
5832851a648ced8dcc587561,volunteer11@foodbridge.com,password123,volunteer,Volunteer,11,,TestCity,555-02011
ea1bf31d0fa48079b85c796d,ngo11@foodbridge.com,password123,ngo,NGO,11,Food Help 11 Org,TestCity,555-03011
7b72e41e7f7cb6a1dab94469,donor12@foodbridge.com,password123,donor,Donor,12,Donor Org 12,TestCity,555-01012
0be6ff5fd91a7e62a64f9856,volunteer12@foodbridge.com,password123,volunteer,Volunteer,12,,TestCity,555-02012
dd9de253c9d2e7a947208d9d,ngo12@foodbridge.com,password123,ngo,NGO,12,Food Help 12 Org,TestCity,555-03012
6451a3d47a457cd0050332ae,donor13@foodbridge.com,password123,donor,Donor,13,Donor Org 13,TestCity,555-01013
8b656b6fc889713ba2215dae,volunteer13@foodbridge.com,password123,volunteer,Volunteer,13,,TestCity,555-02013
62ebcc56ab0508a84dd32df1,ngo13@foodbridge.com,password123,ngo,NGO,13,Food Help 13 Org,TestCity,555-03013
96b39c01bd79617d8e8343fd,donor14@foodbridge.com,password123,donor,Donor,14,Donor Org 14,TestCity,555-01014
35d9311e0b758a59bd2d7790,volunteer14@foodbridge.com,password123,volunteer,Volunteer,14,,TestCity,555-02014
66e987d84a2a52c7050b30bb,ngo14@foodbridge.com,password123,ngo,NGO,14,Food Help 14 Org,TestCity,555-03014
8d5b1f1342bee67d9d20c14a,donor15@foodbridge.com,password123,donor,Donor,15,Donor Org 15,TestCity,555-01015
68712de056b20b06ecff07ce,volunteer15@foodbridge.com,password123,volunteer,Volunteer,15,,TestCity,555-02015
